ID,Gender,Age,Height,Weight,Body Shape,bkgApose,nobkgApose,bkgStandardPose,nobkgStandardPose,bkgTpose,nobkgTpose,bkgFreePose,nobkgFreePose,MidNeckCircumference,NeckCircumference1,ShoulderWidth,SleeveCircumference,ArmLength-1,BicepsCircumference,WristCircumference,BreastCircumference,UpperBreastCircumference,LowerBreastCircumference,WaistCircumference1,AbodomenCircumference,CoxaCircumference,HipCircumference,ThighCircumference,CalfCircumference,LegLength-1,FrontNeck2HipLength-1,BackNeck2HipLength-1,NeckCircumference-2,ArmLength-2,WaistCircumference-2,LegLength-2,FrontNeck2HipLength-2,BackNeck2HipLength-2,HeightOfChest,DistanceOfChest,NapeToWaist,Knee circumference,WidthOfBack,Coxa2HipBottom,UpperHipCircumference
1235,male,30,170,61,NaN,1160-15_1.png,NaN,1160-15_2.png,NaN,NaN,NaN,1160-15_4.jpg,NaN,39,43,45,44,53,28,17,87,90.5,NaN,76,76.5,89,94.5,53,35,93,64,63,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26,NaN
1236,female,37,163,59.6,hourglass,1161-16_1.png,NaN,1161-16_2.png,NaN,NaN,NaN,1161-16_6.jpg,NaN,33,35.5,41,45,53,29,15.5,86.5,89,76.5,72,90,95.5,96,49,36,94,62,59,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24,NaN
1237,male,38,173,65,NaN,1162-17_1.png,NaN,1162-17_2.png,NaN,NaN,NaN,1162-17_5.jpg,NaN,36.5,40,46,45.5,53,29,17,89,92,NaN,80,85,95,98,56,35.5,99.5,71,68,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,27,NaN
1238,male,28,170,58,NaN,1163-18_1.png,NaN,1163-18_2.png,NaN,1163-18_4.png,NaN,1163-18_4.jpg,NaN,36,40,41.5,41,54.5,28,15.5,85.5,87,NaN,75,80,88,91,51,35,97.5,63,60,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26,NaN
1239,male,29,176,70.5,NaN,1164-19_1.png,NaN,1164-19_2.png,NaN,NaN,NaN,1164-19_8.jpg,NaN,38.8,51,45,47.5,57.5,30.5,17,90,91.2,NaN,82,87.5,93.5,99,58.5,35.3,102.5,69.5,67,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25,NaN
1240,female,27,163,53,hourglass,1165-20_3.png,NaN,1165-20_2.png,NaN,1165-20_6.png,NaN,1165-20_4.jpg,NaN,33,36,39.5,40.5,53,25.5,14,86,86,75.5,69,83,89,92,49,34,97,63,56,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25,NaN
1241,male,37,180,80,NaN,1166-21_1.png,NaN,1166-21_2.png,NaN,NaN,NaN,1166-21_5.jpg,NaN,39.5,42,45,50,59,30,17.5,97,98.5,NaN,89,93,93.5,99.5,58,39.5,107,72.5,67,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26,NaN
1242,male,33,172,75,NaN,1167-22_1.png,NaN,1167-22_2.png,NaN,NaN,NaN,1167-22_6.jpg,NaN,38,48,44,48,57,30.5,17.3,98,100,NaN,90.5,93.5,93.5,103.7,58.5,41,98,67,66,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25,NaN
1243,female,37,160,49.7,triangle,1168-23_1.png,NaN,1168-23_2.png,NaN,NaN,NaN,1168-23_6.jpg,NaN,32,37,39.5,39.5,48.5,26.5,14,83,80.5,72.5,69.5,79.5,86,88.5,49.5,33,95,63.5,56.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25,NaN
1244,male,34,174,63,NaN,1169-24_1.png,NaN,1169-24_2.png,NaN,NaN,NaN,1169-24_3.jpg,NaN,37,41,45,40,56,27,17,88,89,NaN,79,81,90,97,53,35.5,105,67,64,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25,NaN
